,index,year,continent,pop
0,0,1952,Africa,237640501
1,1,1952,Americas,345152446
2,2,1952,Asia,1395357351
3,3,1952,Europe,418120846
4,4,1952,Oceania,10686006
5,5,1957,Africa,264837738
6,6,1957,Americas,386953916
7,7,1957,Asia,1562780599
8,8,1957,Europe,437890351
9,9,1957,Oceania,11941976
10,10,1962,Africa,296516865
11,11,1962,Americas,433270254
12,12,1962,Asia,1696357182
13,13,1962,Europe,460355155
14,14,1962,Oceania,13283518
15,15,1967,Africa,335289489
16,16,1967,Americas,480746623
17,17,1967,Asia,1905662900
18,18,1967,Europe,481178958
19,19,1967,Oceania,14600414
20,20,1972,Africa,379879541
21,21,1972,Americas,529384210
22,22,1972,Asia,2150972248
23,23,1972,Europe,500635059
24,24,1972,Oceania,16106100
25,25,1977,Africa,433061021
26,26,1977,Americas,578067699
27,27,1977,Asia,2384513556
28,28,1977,Europe,517164531
29,29,1977,Oceania,17239000
30,30,1982,Africa,499348587
31,31,1982,Americas,630290920
32,32,1982,Asia,2610135582
33,33,1982,Europe,531266901
34,34,1982,Oceania,18394850
35,35,1987,Africa,574834110
36,36,1987,Americas,682753971
37,37,1987,Asia,2871220762
38,38,1987,Europe,543094160
39,39,1987,Oceania,19574415
40,40,1992,Africa,659081517
41,41,1992,Americas,739274104
42,42,1992,Asia,3133292191
43,43,1992,Europe,558142797
44,44,1992,Oceania,20919651
45,45,1997,Africa,743832984
46,46,1997,Americas,796900410
47,47,1997,Asia,3383285500
48,48,1997,Europe,568944148
49,49,1997,Oceania,22241430
50,50,2002,Africa,833723916
51,51,2002,Americas,849772762
52,52,2002,Asia,3601802203
53,53,2002,Europe,578223869
54,54,2002,Oceania,23454829
55,55,2007,Africa,929539692
56,56,2007,Americas,898871184
57,57,2007,Asia,3811953827
58,58,2007,Europe,586098529
59,59,2007,Oceania,24549947
